"trait" "joint_lambda" "meta_lambda"
"height" 0.951637528078531 1.16085676796921
"LOG_a2h_ins" 1.00829273611178 1.13449582018819
"LOG_creatinine" 1.01939308131138 1.10607572287435
"LOG_adiponectin" 1.00135134027823 1.11920310394597
"LOG_leptin" 0.985206854700101 1.07277963058228
"LOG_chol" 1.04700658063712 1.1080877366439
"LOG_ldl" 1.01848778619645 1.1416863402939
"LOG_hdl" 1.00712121592414 1.13654673790649
"LOG_tg" 1.01545173631961 1.14684358034123
"LOG_bmi" 0.968152424679771 1.18874480227425
"LOG_hipc" 0.974428606810356 1.14323165723549
"LOG_waistc" 0.981067191556073 1.16137827163074
"LOG_whr" 0.98430485195571 1.11920310394597
"LOG_dbp" 1.0114382721097 1.10507074640007
"LOG_cystatin_c" 0.987876684352381 1.04167649872116
"t2d" 0.999419728194158 1.11262483329924
"LOG_fast_glu" 0.963300153410524 1.13603374510665
"LOG_sbp" 1.01925493136208 1.05423048488742
"LOG_fast_ins" 0.997799623706524 1.09206831103722
"LOG_a2h_glu" 0.971996252472841 1.13347141413095
"LOG_weight" 0.986079898278519 1.18715263040041
